,긍정,부정
0,lots/NNS,quiet/JJ
1,world/NN,haha/NN
2,great/JJ,small/JJ
3,beautiful/JJ,even/RB
4,food/NN,took/VBD
5,time/NN,skating/NN
6,definitely/RB,magic/JJ
7,ages/NNS,tiresome/NN
8,amusement/NN,exhausted/VBD
9,almost/RB,50/CD
10,outside/JJ,pass/NN
11,family/NN,ok/JJ
12,mostly/RB,without/IN
13,seoul/NN,overall/JJ
14,lotte/NN,photoshoot/NN
15,best/JJS,hours/NNS
16,place/NN,spent/VBN
17,plenty/NN,way/NN
18,must/MD,pictures/NNS
19,free/JJ,nothing/NN
