,긍정,부정
0,place/NN,much/RB
1,beautiful/JJ,lights/NNS
2,city/NN,deck/NN
3,great/JJ,platform/NN
4,must/MD,bridge/NN
5,seoul/NN,wait/NN
6,visit/VB,expensive/JJ
7,love/NN,outside/JJ
8,go/VB,need/NN
9,mountain/NN,tourist/NN
10,tower/NN,cafe/JJ
11,see/VB,huge/JJ
12,seoul/JJ,better/JJR
13,locks/NNS,hours/NNS
14,lots/NNS,got/VBD
15,namsan/JJ,bus/NN
16,walk/VB,climb/VB
17,places/NNS,windows/NNS
18,best/JJS,take/VB
19,observatory/NN,bad/JJ
