,긍정,부정
0,seoul/NN,honestly/RB
1,see/VB,xd/VBP
2,beautiful/JJ,moll/NN
3,must/MD,smog/NN
4,great/JJ,counter/NN
5,experience/NN,visa/NN
6,one/CD,though/IN
7,time/NN,youre/NN
8,shopping/NN,food/NN
9,amazing/JJ,lot/NN
10,place/NN,looking/VBG
11,view/NN,bad/JJ
12,night/NN,namsam/JJ
13,floors/NNS,extremely/RB
14,sky/NN,tower/NN
15,good/JJ,parking/NN
16,really/RB,people/NNS
17,restaurants/NNS,nothing/NN
18,elevator/NN,bit/RB
19,top/JJ,expensive/JJ
