,긍정,리뷰수,부정
0,walk/NN,1379,
1,different/JJ,154,
2,enjoyed/VBD,197,
3,full/JJ,187,
4,eat/VB,1344,
0,,2,sadly/RB
1,,603,long/JJ
2,,91,nothing/NN
3,,365,crowded/VBN
4,,226,visited/VBN
5,,344,much/JJ
6,,143,tourists/NNS
