,긍정,리뷰수,부정
0,night/NN,1024,
1,day/NN,944,
2,different/JJ,154,
3,enjoyed/VBD,197,
4,photo/NN,298,
0,,243,need/VBP
1,,81,surrounding/VBG
2,,91,nothing/NN
3,,344,much/JJ
4,,85,money/NN
