,긍정,리뷰 수,부정,리뷰 수
0,food/NN,582,stores/NNS,217
1,love/NN,601,stuff/NN,154
2,always/RB,77,probably/RB,65
3,sights/NNS,44,floor/NN,198
4,variety/NN,136,waited/VBD,28
5,n/JJ,4015,everything/NN,130
6,love/VBP,601,staff/NN,43
7,alley/NN,145,special/JJ,227
8,south/JJ,17,coffee/NN,107
9,fish/JJ,67,spend/VBP,183
10,every/DT,345,2/CD,360
11,structure/NN,63,wait/VB,226
12,local/JJ,202,didnt/VBP,212
13,family/NN,95,game/NN,17
14,romantic/JJ,72,independent/JJ,8
15,got/VBD,171,elsewhere/RB,29
16,day/NN,665,pearl/NN,8
17,love/VB,601,worst/JJS,5
18,highly/RB,51,architecture/NN,135
19,worth/NN,403,came/VBD,95
20,restaurants/NNS,407,unique/JJ,142
21,people/NNS,287,dirty/JJ,11
22,fantastic/JJ,61,come/VBP,164
23,walking/VBG,190,inside/IN,227
24,make/VBP,161,decent/JJ,39
25,couples/NNS,150,found/VBD,145
26,try/VB,218,novelties/NNS,5
27,corona/NN,7,waiting/VBG,79
28,lovely/RB,71,wouldnt/VBP,36
29,reasonable/JJ,82,almost/RB,90
30,easy/JJ,78,guess/NN,46
31,building/NN,259,would/MD,319
32,enjoyed/VBN,168,1/CD,445
33,cute/JJ,67,apart/RB,5
34,spot/NN,133,number/NN,85
35,worth/IN,403,hour/NN,312
36,little/JJ,248,rides/NNS,187
37,couple/NN,291,mind/NN,48
38,jewelry/NN,20,overrated/VBN,11
39,night/NN,405,little/RB,248
40,locations/NNS,13,high/JJ,249
41,saw/VBD,74,even/RB,327
42,gifts/NNS,93,inside/RB,227
43,fast/RB,47,tourists/NNS,151
44,braised/JJ,8,long/RB,344
45,accessories/NNS,35,anything/NN,78
46,old/JJ,333,disappointed/JJ,40
47,top/NN,572,much/RB,338
48,drop/NN,50,much/JJ,338
49,snacks/NNS,51,nothing/NN,83
