,긍정,리뷰수,부정
0,food/NN,582,
1,day/NN,665,
2,corona/NN,7,
0,,130,everything/NN
1,,43,staff/NN
2,,212,didnt/VBP
3,,5,worst/JJS
4,,40,disappointed/JJ
