,긍정,리뷰수,부정
0,day/NN,665,
1,love/VB,601,
2,try/VB,218,
3,reasonable/JJ,82,
4,enjoyed/VBN,168,
0,,65,probably/RB
1,,212,didnt/VBP
2,,145,found/VBD
3,,90,almost/RB
4,,319,would/MD
5,,312,hour/NN
6,,78,anything/NN
7,,40,disappointed/JJ
8,,338,much/RB
9,,83,nothing/NN
