,긍정,리뷰수,부정
0,love/VBP,601,
1,day/NN,665,
2,highly/RB,51,
3,enjoyed/VBN,168,
4,worth/IN,403,
5,couple/NN,291,
0,,65,probably/RB
1,,46,guess/NN
