,긍정,리뷰수,부정
0,day/NN,665,
1,restaurants/NNS,407,
2,try/VB,218,
3,worth/IN,403,
4,saw/VBD,74,
0,,226,wait/VB
1,,11,dirty/JJ
2,,90,almost/RB
3,,319,would/MD
4,,344,long/RB
5,,338,much/JJ
6,,83,nothing/NN
