,긍정,리뷰수,부정
0,love/VBP,601,
1,day/NN,665,
2,people/NNS,287,
3,fantastic/JJ,61,
4,little/JJ,248,
0,,65,probably/RB
1,,46,guess/NN
2,,319,would/MD
3,,85,number/NN
