,긍정,리뷰수,부정
0,love/VBP,601,
1,worth/NN,403,
2,fantastic/JJ,61,
3,enjoyed/VBN,168,
0,,46,guess/NN
1,,151,tourists/NNS
2,,40,disappointed/JJ
3,,338,much/RB
4,,338,much/JJ
5,,83,nothing/NN
