,긍정,리뷰수,부정
0,family/NN,196,
1,kids/NNS,370,
2,clean/JJ,61,
0,,221,people/NNS
1,,276,much/RB
2,,65,closed/VBN
3,,177,little/JJ
4,,11,everland/NN
5,,309,old/JJ
6,,40,nothing/NN
