,긍정,리뷰수,부정
0,enjoyed/VBN,145,
1,choose/VB,37,
0,,276,much/RB
1,,65,closed/VBN
2,,52,else/RB
3,,44,disappointed/JJ
4,,276,much/JJ
5,,40,nothing/NN
