,긍정,리뷰수,부정
0,kids/NNS,370,
1,weather/NN,96,
0,,11,worst/JJS
1,,109,staff/NN
2,,19,empty/JJ
3,,185,small/JJ
4,,44,disappointed/JJ
5,,309,old/JJ
